Configured with email username  None , password  False
_sa_instance_state, endtime, id, intensity, negativity, news_id, rating, rating2, starttime, time_spent, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcd970>","2021-08-02 08:38:05.515592","13","None","None","48","0.0","0.0","2021-08-02 08:38:05.515581","None","3",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcda60>","2021-08-02 08:38:27.220092","14","None","None","28","0.0","0.0","2021-08-02 08:38:27.220077","None","3",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcdb50>","2021-08-02 08:39:04.800329","15","None","None","8","0.0","0.0","2021-08-02 08:39:04.800316","None","3",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcdc40>","2021-08-02 08:39:22.826699","16","None","None","50","0.0","0.0","2021-08-02 08:39:22.826693","None","3",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcdd30>","2021-08-02 15:00:29.231895","17","None","None","68","0.0","0.0","2021-08-02 15:00:29.231862","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcde20>","2021-08-02 15:00:37.679325","18","None","None","17","0.0","0.0","2021-08-02 15:00:37.679309","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bcdf10>","2021-08-02 15:01:04.846498","19","None","None","16","4.0","0.0","2021-08-02 15:01:01","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2040>","2021-08-02 15:01:30.156631","20","None","None","8","1.0","0.0","2021-08-02 15:01:25","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2130>","2021-08-02 15:01:52.937408","21","None","None","13","1.0","0.0","2021-08-02 15:01:49","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2220>","2021-08-02 15:10:34.931171","22","None","None","32","2.5","0.0","2021-08-02 15:10:30","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2310>","2021-08-03 09:53:20.702209","23","None","None","60","3.0","0.0","2021-08-03 09:53:17","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2400>","2021-08-06 08:08:18.206844","24","None","None","5","4.0","0.0","2021-08-06 08:08:08","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd24f0>","2021-08-06 08:13:28.575490","25","None","None","19","4.0","0.0","2021-08-06 08:13:25","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd25e0>","2021-08-06 09:07:43.372288","26","None","None","52","0.0","0.0","2021-08-06 09:07:43.372268","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd26d0>","2021-08-09 11:09:35.116251","27","None","None","13","1.5","0.0","2021-08-09 11:09:30","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd27c0>","2021-08-09 11:10:03.987827","28","None","None","28","2.0","0.0","2021-08-09 11:10:01","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd28b0>","2021-08-09 11:10:32.333465","29","None","None","32","0.0","0.0","2021-08-09 11:10:32.333457","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd29a0>","2021-08-09 11:11:07.859948","30","None","None","38","2.0","0.0","2021-08-09 11:11:00","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2a90>","2021-08-09 11:11:30.210766","31","None","None","31","3.0","0.0","2021-08-09 11:11:24","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2b80>","2021-08-09 11:40:34.880181","32","None","None","25","2.0","0.0","2021-08-09 11:40:31","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2c70>","2021-08-09 11:40:50.340697","33","None","None","25","2.0","0.0","2021-08-09 11:40:47","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2d60>","2021-08-11 07:08:49.367169","34","None","None","21","3.0","0.0","2021-08-11 07:08:22","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2e50>","2021-08-11 08:03:34.819776","35","None","None","57","3.0","0.0","2021-08-11 08:03:29","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd2f40>","2021-08-11 08:03:51.369601","36","None","None","2","1.0","0.0","2021-08-11 08:03:45","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8070>","2021-08-11 08:45:57.999388","37","None","None","40","0.0","0.0","2021-08-11 08:45:57.999378","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8160>","2021-08-11 08:46:49.761334","38","1","0","40","0.0","0.0","2021-08-11 08:46:49.761321","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8250>","2021-08-11 08:46:59.979912","39","1","0","40","3.0","0.0","2021-08-11 08:46:54","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8340>","2021-08-11 08:50:35.336840","40","1","0","45","3.0","0.0","2021-08-11 08:50:31","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8430>","2021-08-11 08:51:18.268367","41","0","0","5","1.0","0.0","2021-08-11 08:51:15","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8520>","2021-08-11 08:51:34.085623","42","0","1","12","3.0","0.0","2021-08-11 08:51:29","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8610>","2021-08-11 10:41:29.386663","43","0","0","21","2.0","0.0","2021-08-11 10:41:25","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8700>","2021-08-11 10:50:06.731186","44","0","0","39","2.0","0.0","2021-08-11 10:50:03","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd87f0>","2021-08-11 10:50:34.500353","45","0","0","73","4.0","0.0","2021-08-11 10:50:30","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd88e0>","2021-08-11 10:57:22.957960","46","1","0","71","3.0","0.0","2021-08-11 10:57:16","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd89d0>","2021-08-11 11:14:45.526242","47","0","0","60","3.0","0.0","2021-08-11 11:14:42","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8ac0>","2021-08-11 11:14:58.997153","48","1","0","86","3.0","0.0","2021-08-11 11:14:56","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8bb0>","2021-08-11 11:15:25.338132","49","0","0","73","0.5","0.0","2021-08-11 11:15:22","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8ca0>","2021-08-11 11:17:15.381100","50","0","0","40","2.0","0.0","2021-08-11 11:17:11","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8d90>","2021-08-11 11:17:38.481810","51","0","1","84","5.0","0.0","2021-08-11 11:17:35","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8e80>","2021-08-11 11:31:20.193618","52","0","0","63","2.0","0.0","2021-08-11 11:31:17","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bd8f70>","2021-08-11 11:31:38.596277","53","0","0","83","3.0","0.0","2021-08-11 11:31:35","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd0a0>","2021-08-11 11:31:56.533176","54","0","0","57","2.0","0.0","2021-08-11 11:31:53","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd190>","2021-08-12 08:14:59.329826","55","0","1","95","3.0","0.0","2021-08-12 08:14:55","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd280>","2021-08-12 08:15:35.727926","56","0","1","18","4.0","0.0","2021-08-12 08:15:31","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd370>","2021-08-12 08:16:16.476282","57","0","0","6","2.0","0.0","2021-08-12 08:15:59","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd460>","2021-08-13 10:27:04.597197","58","0","0","30","3.0","0.0","2021-08-13 10:27:02","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd550>","2021-08-13 10:27:31.439241","59","0","0","83","0.0","0.0","2021-08-13 10:27:31.439232","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd640>","2021-08-13 10:27:43.376544","60","0","0","83","1.5","0.0","2021-08-13 10:27:38","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd730>","2021-08-16 09:00:25.901184","61","0","1","14","2.0","0.0","2021-08-16 09:00:22","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd820>","2021-08-18 06:40:57.073113","62","1","0","62","0.0","0.0","2021-08-18 06:40:57.073108","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdd910>","2021-08-18 06:41:54.640085","63","0","1","53","3.0","0.0","2021-08-18 06:41:40","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdda00>","2021-08-18 06:42:01.278368","64","0","0","39","0.0","0.0","2021-08-18 06:42:01.278362","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bddaf0>","2021-08-18 06:42:30.672271","65","0","0","20","0.0","0.0","2021-08-18 06:42:30.672266","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bddbe0>","2021-08-18 06:44:54.925051","66","0","0","35","0.0","0.0","2021-08-18 06:44:54.925039","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bddcd0>","2021-08-18 07:22:59.733108","67","0","0","4","4.5","0.0","2021-08-18 07:22:53","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bdddc0>","2021-08-18 07:23:28.811582","68","0","0","93","0.0","0.0","2021-08-18 07:23:28.811576","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bddeb0>","2021-08-18 08:23:52.569113","69","1","1","37","2.5","0.0","2021-08-18 08:22:48","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bddfa0>","2021-08-18 08:27:13.511173","70","0","0","30","4.0","0.0","2021-08-18 08:26:38","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be20d0>","2021-08-18 08:28:21.898401","71","1","0","62","0.0","0.0","2021-08-18 08:28:21.898396","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be21c0>","2021-08-18 08:31:31.664052","72","0","0","80","4.0","0.0","2021-08-18 08:31:17","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be22b0>","2021-08-18 08:32:33.617815","73","0","0","85","0.0","0.0","2021-08-18 08:32:33.617803","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be23a0>","2021-08-18 08:34:38.314892","74","0","0","6","3.0","0.0","2021-08-18 08:34:15","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2490>","2021-08-18 08:34:50.016813","75","0","0","65","0.0","0.0","2021-08-18 08:34:50.016800","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2580>","2021-08-18 08:36:05.354718","76","0","0","42","3.0","0.0","2021-08-18 08:35:55","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2670>","2021-08-18 08:39:11.282462","77","1","0","3","4.0","0.0","2021-08-18 08:38:56","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2760>","2021-08-19 08:45:01.681350","78","0","0","97","2.0","0.0","2021-08-19 08:44:55","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2850>","2021-08-19 09:21:48.250789","79","0","0","97","0.0","0.0","2021-08-19 09:21:48.250782","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2940>","2021-08-19 09:22:04.227553","80","2","0","87","0.0","0.0","2021-08-19 09:22:04.227545","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2a30>","2021-08-19 09:27:17.878312","81","0","0","75","2.0","0.0","2021-08-19 09:27:14","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2b20>","2021-08-19 10:05:06.771780","82","0","1","89","4.0","0.0","2021-08-19 10:05:02","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2c10>","2021-08-19 10:38:28.364552","83","1","0","20","2.0","0.0","2021-08-19 10:38:24","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2d00>","2021-08-23 14:01:10.570598","84","0","0","28","0.0","0.0","2021-08-23 14:01:10.570586","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2df0>","2021-08-23 14:01:11.943659","85","0","0","28","0.0","0.0","2021-08-23 14:01:11.943648","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2ee0>","2021-08-23 14:01:14.561746","86","0","0","28","0.0","0.0","2021-08-23 14:01:14.561740","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be2fd0>","2021-08-24 10:55:26.108664","87","0","1","2","0.0","0.0","2021-08-24 10:55:26.108656","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8100>","2021-08-27 08:04:35.555295","88","0","0","67","0.0","0.0","2021-08-27 08:04:35.555285","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be81f0>","2021-08-27 08:04:37.990659","89","0","0","67","0.0","0.0","2021-08-27 08:04:37.990647","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be82e0>","2021-08-29 09:04:24.538897","90","0","2","13","4.0","0.0","2021-08-29 09:04:19","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be83d0>","2021-08-30 15:55:51.635014","91","1","1","1","0.0","0.0","2021-08-30 15:55:51.635002","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be84c0>","2021-08-31 07:17:31.443950","92","0","0","79","0.0","0.0","2021-08-31 07:17:31.443933","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be85b0>","2021-08-31 07:18:53.777793","93","1","1","69","2.0","0.0","2021-08-31 07:17:37","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be86a0>","2021-09-01 09:45:44.174025","94","0","0","39","0.0","0.0","2021-09-01 09:45:44.174009","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8790>","2021-09-01 09:46:43.408791","95","0","1","94","0.0","0.0","2021-09-01 09:46:43.408781","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8880>","2021-09-01 09:46:52.306053","96","0","0","39","0.0","0.0","2021-09-01 09:46:52.306048","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8970>","2021-09-02 10:37:05.745703","97","0","1","28","1.5","0.0","2021-09-02 10:36:55","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8a60>","2021-09-07 09:36:07.499505","98","0","0","41","3.0","0.0","2021-09-07 09:35:51","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8b50>","2021-09-16 13:16:23.088138","99","0","1","6","2.0","0.0","2021-09-16 13:16:16","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8c40>","2021-09-16 13:17:01.661227","100","0","1","72","2.0","0.0","2021-09-16 13:16:57","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8d30>","2021-09-16 13:17:22.418977","101","0","0","82","5.0","0.0","2021-09-16 13:17:18","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8e20>","2021-09-20 09:17:33.582202","102","0","0","22","2.0","0.0","2021-09-20 09:17:24","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9be8f10>","2021-09-20 09:17:44.457495","103","0","0","25","0.0","0.0","2021-09-20 09:17:44.457472","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec040>","2021-09-20 09:18:15.519362","104","0","0","43","0.0","0.0","2021-09-20 09:18:15.519355","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec130>","2021-09-20 09:26:20.321235","105","0","0","35","3.5","0.0","2021-09-20 09:26:16","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec220>","2021-09-20 11:43:43.515648","106","0","1","19","2.5","0.0","2021-09-20 11:38:05","None","11",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec310>","2021-09-20 12:16:32.428428","107","1","0","3","0.0","0.0","2021-09-20 12:16:32.428416","None","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec400>","2021-09-20 12:17:44.382312","108","1","0","3","1.0","0.0","2021-09-20 12:17:38","None","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec4f0>","2021-09-20 12:27:48.176192","109","0","0","2","3.5","0.0","2021-09-20 12:24:22","None","16",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec5e0>","2021-09-20 12:28:06.538591","110","0","1","5","4.0","0.0","2021-09-20 12:27:03","None","17",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec6d0>","2021-09-20 12:29:32.631358","111","0","0","42","2.5","0.0","2021-09-20 12:28:46","None","18",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec7c0>","2021-09-20 12:35:28.140094","112","0","0","26","3.0","0.0","2021-09-20 12:30:57","None","18",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec8b0>","2021-09-20 12:33:00.560743","113","0","0","27","3.0","0.0","2021-09-20 12:31:58","None","20",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bec9a0>","2021-09-20 12:35:17.323605","114","0","1","9","2.0","0.0","2021-09-20 12:34:32","None","20",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9beca90>","2021-09-20 12:40:00.075137","115","0","0","32","1.5","0.0","None","None","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9becb50>","2021-09-20 12:54:07.083326","116","0","0","35","3.5","0.0","2021-09-20 12:53:30","None","27",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9becc40>","2021-09-20 12:55:52.685155","117","1","0","3","0.0","0.0","2021-09-20 12:55:52.685145","None","27",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9becd30>","2021-09-20 13:09:32.787443","118","0","0","8","1.0","0.0","2021-09-20 13:08:18","None","31",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bece20>","2021-09-20 13:15:47.021477","119","0","0","8","3.0","0.0","2021-09-20 13:15:01","None","33",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9becf10>","2021-09-20 13:19:13.693396","120","1","0","3","0.0","0.0","2021-09-20 13:19:13.693387","None","35",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0040>","2021-09-20 13:21:46.614432","121","1","0","3","3.0","0.0","2021-09-20 13:21:31","None","35",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0130>","2021-09-20 13:33:15.830148","122","0","0","36","0.5","0.0","2021-09-20 13:29:49","None","38",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0220>","2021-09-20 13:37:41.019297","123","0","0","8","3.0","0.0","2021-09-20 13:37:09","None","39",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0310>","2021-09-20 13:40:28.831679","124","0","0","25","3.5","0.0","2021-09-20 13:39:56","None","40",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0400>","2021-09-20 13:47:28.461399","125","0","3","20","3.5","0.0","2021-09-20 13:46:09","None","41",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf04f0>","2021-09-20 13:47:15.054385","126","0","0","33","0.0","0.0","2021-09-20 13:47:15.054375","None","44",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf05e0>","2021-09-20 13:51:06.191133","127","0","3","20","3.0","0.0","2021-09-20 13:48:12","None","42",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf06d0>","2021-09-20 13:49:30.300414","128","0","0","43","3.0","0.0","2021-09-20 13:48:42","None","46",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf07c0>","2021-09-20 13:48:42.756343","129","1","0","3","0.0","0.0","2021-09-20 13:48:42.756333","None","45",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf08b0>","2021-09-20 13:50:09.833548","130","0","1","5","0.0","0.0","2021-09-20 13:50:09.833538","None","44",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf09a0>","2021-09-20 13:59:44.291204","131","0","1","5","4.0","0.0","2021-09-20 13:58:29","None","45",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0a90>","2021-09-20 14:01:30.282592","132","0","0","4","0.0","0.0","2021-09-20 14:01:30.282582","None","36",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0b80>","2021-09-20 14:07:22.543025","133","0","0","26","4.0","0.0","2021-09-20 14:05:04","None","36",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0c70>","2021-09-20 14:07:14.743848","134","0","1","19","3.0","0.0","2021-09-20 14:05:43","None","48",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0d60>","2021-09-20 14:10:24.871357","135","0","0","36","3.0","0.0","2021-09-20 14:07:41","None","53",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0e50>","2021-09-20 14:10:53.355033","136","0","0","30","3.0","0.0","2021-09-20 14:09:13","None","51",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9bf0f40>","2021-09-20 14:20:18.573307","137","0","1","13","0.0","0.0","2021-09-20 14:20:18.573297","None","52",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77070>","2021-09-20 14:21:29.220818","138","0","1","19","0.0","0.0","2021-09-20 14:21:29.220804","None","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77160>","2021-09-20 14:22:05.094312","139","0","1","19","4.0","0.0","2021-09-20 14:21:32","None","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77250>","2021-09-20 14:24:25.953746","140","0","0","33","2.5","0.0","2021-09-20 14:22:38","None","55",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77340>","2021-09-20 14:23:31.079609","141","1","0","38","2.5","0.0","2021-09-20 14:22:46","None","54",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77430>","2021-09-20 14:24:57.318467","142","1","0","38","2.0","0.0","2021-09-20 14:23:54","None","52",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77520>","2021-09-20 14:34:07.820516","143","1","0","38","2.0","0.0","2021-09-20 14:33:43","None","30",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77610>","2021-09-20 14:35:39.931838","144","1","0","3","1.0","0.0","2021-09-20 14:34:51","None","56",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77700>","2021-09-20 14:52:56.650147","145","0","0","33","0.0","0.0","2021-09-20 14:52:56.650137","None","57",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b777f0>","2021-09-20 14:55:20.260195","146","1","0","38","2.5","0.0","2021-09-20 14:54:35","None","57",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b778e0>","2021-09-20 15:03:56.714338","147","0","0","23","4.0","0.0","2021-09-20 15:03:28","None","43",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b779d0>","2021-09-20 15:08:40.387008","148","1","0","3","2.5","0.0","2021-09-20 15:08:17","None","43",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77ac0>","2021-09-20 15:09:32.245315","149","1","0","38","3.0","0.0","2021-09-20 15:09:02","None","43",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77bb0>","2021-09-20 15:36:16.617788","150","0","0","40","2.5","0.0","2021-09-20 15:36:02","None","43",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77ca0>","2021-09-20 15:49:52.699499","151","0","1","12","5.0","0.0","2021-09-20 15:49:34","None","43",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77d90>","2021-09-20 15:50:15.772757","152","1","0","3","2.0","0.0","2021-09-20 15:50:02","None","43",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77e80>","2021-09-20 15:53:10.978874","153","0","1","21","3.5","0.0","2021-09-20 15:52:52","None","34",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b77f70>","2021-09-20 16:50:23.691454","154","0","0","34","0.0","0.0","2021-09-20 16:50:23.691436","None","49",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b7b0a0>","2021-09-20 16:51:26.895469","155","1","0","3","0.0","0.0","2021-09-20 16:51:26.895454","None","49",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b7b190>","2021-09-20 16:52:17.607929","156","0","0","41","0.0","0.0","2021-09-20 16:52:17.607865","None","49",
"<sqlalchemy.orm.state.InstanceState object at 0x7f9ac9b7b280>","2021-09-20 16:53:40.805791","157","0","0","43","2.5","0.0","2021-09-20 16:53:22","None","49",
